#ere;id;nom;mil;elo;loy;pop;inf;chev

0;1;Cornelius;4;3;9;0;5;0
0;2;Fabius;4;2;9;0;5;0
0;3;Valerius;1;2;10;0;5;0
0;4;Julius;4;3;9;0;4;0
0;5;Claudius;2;3;7;0;4;0
0;6;Manlius;3;2;7;0;4;0
0:7;Fulvius;2;2;8;0;4;0
0;8;Furius;3;3;8;0;3;0
0;9;Aurelius;2;3;7;0;3;0
0;10;Junius;1;2;8;0;3;0
0;11;Papirius;1;2;6;0;3;0
0;12;Acilius;2;2;7;0;3;0
0;13;Flaminius;4;2;6;0;3;0
0;14;Aelius;3;4;7;0;2;0
0;15;Sulpicius;3;2;8;0;2;0
0;16;Calpurinius;1;2;9;0;2;0
0;17;Plautius;2;1;6;0;2;0
0;18;Quinctius;3;2;6;0;1;0
0;19;Aemilius;4;2;8;0;1;0
0;20;Terentius;2;1;6;0;1;0
1;21;Servilius;3;4;9;0;4;0
1;22;Porcius;2;4;10;0;1;0
1;23;Popillius;1;3;7;0;3;0
1;24;Cassius;3;3;9;0;3;0
1;25;Sempronius;1;3;6;0;3;0
2;26;Octavius;2;3;9;0;4;0
2;27;Marius;4;2;9;0;4;0
2;28;Tullius;2;3;7;0;3;0
2;29;Licinius;3;2;9;0;3;0
2;30;Pompeius;2;2;7;0;2;0
